day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	XO Skeleton	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	XO Skeleton		0	-1	0	0	0	0	 | A Brush with Grossness (50)			0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	XO Skeleton		0	-1	0	0	0	0	 | Hot-Headed (50)			0	0	0	0	0	0		
1	1	false	The Haunted Kitchen	possessed silverware drawer	XO Skeleton		0	6	0	0	0	0	 | The Applause That Refreshes (10)		 | INFECTIOUS BITE | DRAGOON PLATOON | I CAN BEARLY HEAR YOU OVER THE APPLAUSE | COWBOY KICK | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Enforcer	XO Skeleton	 | decent brain	12	2	14	15	8	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Engineer	XO Skeleton	 | LOV Eardigan	14	3	15	14	8	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Equivocator	XO Skeleton	 | decent brain	13	3	21	8	22	0	 | Lovebotamy (50)		 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	XO Skeleton	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	false	The Spooky Forest	spooky vampire	XO Skeleton		0	2	0	0	0	0			 | DRAGOON PLATOON	0	0	0	0	0	0		
1	3	true	The Spooky Forest	sausage goblin	XO Skeleton	 | magical sausage casing | O | decent brain	83	3	25	12	13	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	14	3	27	12	15	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		10	2	30	25	13	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		10	2	33	18	19	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton	 | X	14	2	48	12	14	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		10	2	36	13	28	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		14	11	36	23	17	0			 | BEAR-BACKRUB | DRAGOON PLATOON | COWBOY KICK | INFECTIOUS BITE | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		12	3	41	19	18	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton	 | iced plum wine | blue pixel	11	5	32	20	23	0			 | KODIAK MOMENT | INFECTIOUS BITE	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton	 | O	10	6	37	23	24	0			 | DRAGOON PLATOON | KODIAK MOMENT | COWBOY KICK	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		11	9	38	23	25	0			 | DRAGOON PLATOON | COWBOY KICK | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		13	11	48	18	25	0	 | Wolfish Form (1)	|exploding cigar|exploding cigar	 | DRAGOON PLATOON | COWBOY KICK | KODIAK MOMENT | BECOME A WOLF	0	0	0	0	0	0		
1	3	true	The Neverending Party	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Neverending Party	&quot;plain&quot; girl	XO Skeleton	 | electronics kit | PB&J with the crusts cut off | dorky glasses | ponytail clip	170	3	38	19	22	0			 | DRAGOON PLATOON | BEAR HUG	0	0	0	0	0	0		
1	3	true	Boxing Daycare	Visit the Boxing Day Spa	XO Skeleton		0	-1	0	0	0	0	 | Muddled (100)			0	0	0	0	0	0		
1	3	true	The Neverending Party	biker	XO Skeleton	 | gas can | Middle of the Road&trade; brand whiskey | neverending wallet chain | pentagram bandana | X	221	7	87	27	25	0			 | KODIAK MOMENT | INFECTIOUS BITE | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	XO Skeleton	 | Purple Beast energy drink | green pixel | good brain	331	3	81	19	37	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	biker	XO Skeleton	 | good brain	268	4	77	37	33	0			 | INFECTIOUS BITE | KODIAK MOMENT | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	XO Skeleton	 | cosmetic football	366	3	69	39	34	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	XO Skeleton	 | unremarkable duffel bag | Purple Beast energy drink	366	3	77	35	33	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	biker	XO Skeleton	 | red pixel | O | good brain	247	4	83	38	38	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	Gone Kitchin'	XO Skeleton		0	-1	0	0	0	0	 | Spiced Up (20)			0	0	0	0	0	0		
1	3	true	Deck of Every Card	XXI - The World	XO Skeleton	 | Cobb's Knob map | Evilometer	0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Neverending Party	&quot;plain&quot; girl	XO Skeleton	 | electronics kit | good brain	252	3	126	50	40	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	burnout	XO Skeleton	 | jam band bootleg | ratty knitted cap	115	2	131	42	50	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	10	2	137	47	47	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Knight	XO Skeleton	 | jumping horseradish | green pixel | X	11	2	115	48	48	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	10	3	143	47	54	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	10	3	154	47	44	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Haunted Kitchen	sausage goblin	XO Skeleton	 | stench powder | magical sausage casing | good brain	144	2	124	48	53	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	false	The Haunted Kitchen	paper towelgeist	XO Skeleton	 | decent brain	14	2	36	22	17	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	4	false	The Haunted Kitchen	skullery maid	XO Skeleton		0	2	4	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	5	false	The Haunted Kitchen	paper towelgeist	XO Skeleton	 | cold powder | cardboard katana | white pixel	14	2	39	19	18	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	6	false	The Haunted Kitchen	paper towelgeist	XO Skeleton		11	2	51	19	10	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	7	TRUE	CONSUME: drink 1 splendid martini	N/A	XO Skeleton		0	-1	0	0	0	5	 | License to Punch (40)			0	0	0	0	0	0		
1	7	TRUE	CONSUME: drink 1 splendid martini	N/A	XO Skeleton		0	-1	0	0	0	6	 | For Your Brain Only (40)			0	0	0	0	0	0		
1	7	TRUE	CONSUME: drink 1 splendid martini	N/A	XO Skeleton		0	-1	0	0	0	5	 | License to Punch (40)			0	0	0	0	0	0		
1	7	TRUE	CONSUME: drink 1 iced plum wine	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	7	false	The Haunted Kitchen	demonic icebox	XO Skeleton	 | Spookyraven billiards room key | ancient frozen dinner | leftovers of indeterminate origin	34	2	39	13	25	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	8	true	The Haunted Billiards Room	Lights Out in the Billiards Room	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	8	TRUE	CONSUME: eat 1 hunter brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	8	false	The Haunted Billiards Room	Norville Rogers	XO Skeleton		0	2	0	0	6	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	9	false	The Haunted Billiards Room	chalkdust wraith	XO Skeleton	 | handful of hand chalk	13	2	49	12	14	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	10	false	The Haunted Billiards Room	pooltergeist	XO Skeleton		12	2	39	24	15	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	11	false	The Haunted Billiards Room	That's Your Cue	XO Skeleton	 | pool cue	0	-1	0	0	0	0				0	0	0	0	0	0		
1	12	false	The Haunted Billiards Room	pooltergeist	XO Skeleton		0	3	0	0	0	0			 | INFECTIOUS BITE	0	0	0	0	0	0		
1	13	false	The Haunted Billiards Room	Welcome To Our ool Table	XO Skeleton	 | Spookyraven library key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	14	true	The Haunted Library	Take a Look, it's in a Book!	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	14	true	The Haunted Library	banshee librarian	XO Skeleton		0	1	0	0	0	0			 | THROW LATTE ON OPPONENT	1	1	0	0	0	0		
1	14	true	Cook 5 wad of dough + 5 soda water	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	14	false	The Haunted Library	bookbat	XO Skeleton		0	3	0	0	0	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	15	true	Cook 5 wad of dough + 5 soda water	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	15	false	The Haunted Library	writing desk	XO Skeleton	 | snifter of thoroughly aged brandy | O	12	3	39	17	12	0			 | OFFER LATTE TO OPPONENT | KODIAK MOMENT	0	0	0	1	0	0		
1	16	false	The Spooky Forest	Hoom Hah	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	17	TRUE	CONSUME: eat 1 hunter brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	17	false	The Spooky Forest	Peacannon	XO Skeleton	 | hunter brain	14	2	36	15	12	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	18	true	The Spooky Forest	sausage goblin	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	18	false	The Haunted Library	writing desk	XO Skeleton	 | Gathered Meat-Clip	11	2	53	15	13	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	19	false	The Haunted Library	bookbat	XO Skeleton		0	2	0	0	6	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	20	false	The Haunted Library	writing desk	XO Skeleton	 | inkwell | snifter of thoroughly aged brandy	10	2	53	13	10	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	21	false	The Haunted Library	writing desk	XO Skeleton	 | inkwell	15	2	39	17	17	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	22	true	The Haunted Library	Wooof! Wooooooof!	XO Skeleton	 | Ghost Dog Chow	0	-1	0	0	0	0				0	0	0	0	0	0		
1	22	false	The Haunted Library	bookbat	XO Skeleton		11	2	42	24	5	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	23	false	The Haunted Library	bookbat	XO Skeleton		15	2	38	15	14	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	24	false	The Haunted Library	bookbat	XO Skeleton		0	2	0	7	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	25	TRUE	CONSUME: eat 1 hunter brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	25	false	The Haunted Library	Scott the Miner	XO Skeleton	 | hunter brain	13	2	41	13	17	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	26	false	The Haunted Library	writing desk	XO Skeleton	 | snifter of thoroughly aged brandy | Lady Spookyraven's necklace	14	2	40	13	18	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	27	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	27	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	27	true	The Defiled Niche	slick lihc	XO Skeleton		0	1	0	0	0	0			 | ASDON MARTIN: SPRING-LOADED FRONT BUMPER	0	0	0	0	0	0		
1	27	true	The Defiled Niche	basic lihc	XO Skeleton		0	1	0	0	0	0			 | THROW LATTE ON OPPONENT	1	1	0	0	0	0		
1	27	false	The Defiled Niche	dirty old lihc	XO Skeleton		0	2	0	6	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	28	false	The Defiled Niche	senile lihc	XO Skeleton	 | lihc eye | X | decent brain	12	3	46	21	14	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	29	false	The Defiled Niche	dirty old lihc	XO Skeleton	 | salacious crumbs | Gathered Meat-Clip	15	3	50	14	18	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	30	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	30	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	30	false	The Defiled Niche	dirty old lihc	XO Skeleton		0	3	4	0	0	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	31	false	The Defiled Niche	dirty old lihc	XO Skeleton	 | diluted makeup | salacious crumbs	11	3	38	23	14	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	32	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	32	true	The Defiled Niche	Wooof! Wooooooof!	XO Skeleton	 | Ghost Dog Chow	0	-1	0	0	0	0				0	0	0	0	0	0		
1	32	true	The Defiled Niche	senile lihc	XO Skeleton		0	1	0	0	0	0			 | KGB TRANQUILIZER DART	1	1	0	0	0	0		
1	32	false	The Defiled Niche	dirty old lihc	XO Skeleton		13	2	49	12	22	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	33	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	33	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	33	false	The Defiled Niche	dirty old lihc	XO Skeleton	 | white pixel | O | Pok&eacute;-Gro fertilizer	13	2	38	12	32	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	34	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	34	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	34	true	The Defiled Niche	Urning Your Keep	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	34	false	The Defiled Niche	dirty old lihc	XO Skeleton	 | good brain	10	2	46	24	10	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	35	TRUE	CONSUME: eat 1 boss brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	35	false	The Defiled Niche	gargantulihc	XO Skeleton		0	2	0	0	7	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	36	true	The Haunted Bathroom	sausage goblin	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	36	false	The Dark Heart of the Woods	Fallen Archfiend	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	37	TRUE	CONSUME: eat 1 hunter brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	37	false	The Dark Heart of the Woods	Father McGruber	XO Skeleton	 | hunter brain	14	3	40	15	14	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	38	false	The Dark Heart of the Woods	P imp	XO Skeleton	 | hot wing | Imp Ale | white pixel	84	2	42	18	12	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	39	false	The Dark Heart of the Woods	G imp	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	40	false	The Dark Heart of the Woods	Fallen Archfiend	XO Skeleton	 | pink slime | decent brain | Gathered Meat-Clip	111	2	45	18	18	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	41	false	The Dark Heart of the Woods	Moon Over the Dark Heart	XO Skeleton	 | hot plate	0	-1	0	0	0	0				0	0	0	0	0	0		
1	42	false	The Dark Heart of the Woods	Running the Lode	XO Skeleton		350	-1	0	0	0	0				0	0	0	0	0	0		
1	43	false	The Dark Heart of the Woods	P imp	XO Skeleton	 | Imp Ale | O | decent brain | stick of firewood	76	2	37	18	17	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	44	true	The Dark Heart of the Woods	Wooof! Wooooooof!	XO Skeleton	 | Ghost Dog Chow	0	-1	0	0	0	0				0	0	0	0	0	0		
1	44	false	The Dark Heart of the Woods	I, Martin	XO Skeleton	 | martini	0	-1	0	0	0	0				0	0	0	0	0	0		
1	45	false	The Dark Heart of the Woods	Fallen Archfiend	XO Skeleton	 | pink slime | white pixel | decent brain | stick of firewood	104	2	38	9	27	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	46	TRUE	CONSUME: eat 1 hunter brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	46	false	The Dark Heart of the Woods	Herman East, Relivinator	XO Skeleton	 | hunter brain | stick of firewood	11	3	46	14	12	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	47	false	The Dark Heart of the Woods	Fallen Archfiend	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	48	false	The Dark Heart of the Woods	Imp Be Nimble, Imp Be Quick	XO Skeleton	 | box of birthday candles	0	-1	0	0	0	0				0	0	0	0	0	0		
1	49	false	The Dark Neck of the Woods	P imp	XO Skeleton		0	2	0	0	7	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	50	false	The Dark Neck of the Woods	W imp	XO Skeleton	 | Imp Ale | decent brain	78	2	40	19	13	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	51	false	The Dark Neck of the Woods	W imp	XO Skeleton	 | ruby W | wussiness potion	79	2	41	19	18	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	52	false	The Dark Neck of the Woods	Hellion	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	53	false	The Dark Neck of the Woods	W imp	XO Skeleton	 | decent brain	80	2	45	8	7	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	54	true	The Dark Neck of the Woods	Wooof! Wooooooof!	XO Skeleton	 | Ghost Dog Chow	0	-1	0	0	0	0				0	0	0	0	0	0		
1	54	true	The Outskirts of Cobb's Knob	sausage goblin	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	54	false	The Dark Neck of the Woods	How Do We Do It? Quaint and Curious Volume!	XO Skeleton		250	-1	0	0	0	0				0	0	0	0	0	0		
1	55	false	The Dark Neck of the Woods	P imp	XO Skeleton	 | hot wing | Imp Ale | stick of firewood	83	2	34	12	14	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	56	false	The Dark Neck of the Woods	P imp	XO Skeleton	 | green pixel | decent brain | Gathered Meat-Clip	86	2	34	21	9	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	57	false	The Dark Neck of the Woods	W imp	XO Skeleton	 | almost-dead walkie-talkie | ruby W | green pixel	70	2	34	20	5	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	58	false	The Dark Neck of the Woods	Strike One!	XO Skeleton	 | imp unity ring	0	-1	0	0	0	0				0	0	0	0	0	0		
1	59	false	The Dark Neck of the Woods	P imp	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	60	false	The Dark Neck of the Woods	Hellion	XO Skeleton	 | stick of firewood	10	2	36	13	15	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	61	false	The Dark Neck of the Woods	Olive My Love To You, Oh.	XO Skeleton	 | olive | olive	0	-1	0	0	0	0				0	0	0	0	0	0		
1	62	false	The Dark Neck of the Woods	P imp	XO Skeleton	 | stick of firewood	65	2	34	13	13	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	63	TRUE	CONSUME: eat 1 hunter brain	N/A	XO Skeleton		0	-1	0	0	0	6				0	0	0	0	0	0		
1	63	false	The Dark Neck of the Woods	Angry Space Marine	XO Skeleton	 | hunter brain | green pixel	12	3	33	9	20	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	64	false	The Dark Neck of the Woods	Hellion	XO Skeleton	 | hellion cube	14	2	29	13	25	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	65	false	The Dark Neck of the Woods	Dodecahedrariffic!	XO Skeleton	 | dodecagram	0	-1	0	0	0	0				0	0	0	0	0	0		
1	66	false	The Dark Elbow of the Woods	L imp	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	67	false	The Dark Elbow of the Woods	Demoninja	XO Skeleton	 | blue pixel | li'l ninja costume	104	2	37	14	10	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	68	false	The Dark Elbow of the Woods	Deep Imp Act	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	69	false	The Dark Elbow of the Woods	L imp	XO Skeleton	 | cast | decent brain	76	2	36	9	21	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	70	false	The Dark Elbow of the Woods	G imp	XO Skeleton		0	2	0	0	0	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	71	false	The Dark Elbow of the Woods	G imp	XO Skeleton	 | hot wing | Imp Ale | vitamin G pill | X | Gathered Meat-Clip	76	2	39	9	19	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	72	false	The Dark Elbow of the Woods	G imp	XO Skeleton	 | hot wing | Imp Ale | green pixel | decent brain | stick of firewood	80	2	30	15	14	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	73	true	The Dark Elbow of the Woods	Wooof! Wooooooof!	XO Skeleton	 | Ghost Dog Chow	0	-1	0	0	0	0				0	0	0	0	0	0		
1	73	true	The Haunted Bathroom	sausage goblin	XO Skeleton	 | magical sausage casing | good brain	167	2	113	39	52	0			 | KODIAK MOMENT	0	0	0	0	0	0		
